[2024-10-29 13:01:00,613] INFO [mssql-source-config-json|task-0] 2 records sent during previous 00:01:59.437, last recorded offset of {server=mssql-source-topic, database=TRYIT} partition is {transaction_id=null, event_serial_no=1, commit_lsn=0000004e:0001a844:0003, change_lsn=0000004e:0001a844:0002} (io.debezium.connector.common.BaseSourceTask:216)
[2024-10-29 13:01:00,625] INFO [mssql-source-config-json|task-0|offsets] WorkerSourceTask{id=mssql-source-config-json-0} Committing offsets for 0 acknowledged messages (org.apache.kafka.connect.runtime.WorkerSourceTask:235)
[2024-10-29 13:01:01,127] INFO [mssql-source-config-json|task-0|offsets] WorkerSourceTask{id=mssql-source-config-json-0} Committing offsets for 1 acknowledged messages (org.apache.kafka.connect.runtime.WorkerSourceTask:235)
[2024-10-29 13:01:53,679] INFO Kafka Connect stopping (org.apache.kafka.connect.runtime.Connect:67)
[2024-10-29 13:01:53,679] INFO Stopping REST server (org.apache.kafka.connect.runtime.rest.RestServer:354)
[2024-10-29 13:01:53,687] INFO Stopped http_8083@1ebb3621{HTTP/1.1, (http/1.1)}{0.0.0.0:8083} (org.eclipse.jetty.server.AbstractConnector:383)
[2024-10-29 13:01:53,687] INFO node0 Stopped scavenging (org.eclipse.jetty.server.session:149)
[2024-10-29 13:01:53,688] INFO Stopped o.e.j.s.ServletContextHandler@3dfef25d{/,null,STOPPED} (org.eclipse.jetty.server.handler.ContextHandler:1159)
[2024-10-29 13:01:53,690] INFO REST server stopped (org.apache.kafka.connect.runtime.rest.RestServer:383)
[2024-10-29 13:01:53,690] INFO Herder stopping (org.apache.kafka.connect.runtime.standalone.StandaloneHerder:116)
[2024-10-29 13:01:53,691] INFO [mssql-source-config-json|task-0] Stopping task mssql-source-config-json-0 (org.apache.kafka.connect.runtime.Worker:1047)
[2024-10-29 13:01:53,762] INFO [mssql-source-config-json|task-0] Stopping down connector (io.debezium.connector.common.BaseSourceTask:299)
[2024-10-29 13:01:54,178] INFO [mssql-source-config-json|task-0] Finished streaming (io.debezium.connector.sqlserver.SqlServerChangeEventSourceCoordinator:136)
[2024-10-29 13:01:54,179] INFO [mssql-source-config-json|task-0] Connected metrics set to 'false' (io.debezium.pipeline.ChangeEventSourceCoordinator:424)
[2024-10-29 13:01:54,179] INFO [mssql-source-config-json|task-0] SignalProcessor stopped (io.debezium.pipeline.signal.SignalProcessor:127)
[2024-10-29 13:01:54,179] INFO [mssql-source-config-json|task-0] Debezium ServiceRegistry stopped. (io.debezium.service.DefaultServiceRegistry:105)
